1	丶	1	Punkt	diǎn, zhǔ		gebunden	selten	3	永 yŏng = ewig, 求qiú = suchen, 为 wéi, wèi = tun/machen
2	ー	1	eins	héng, yī		frei	häufig	1	东 dōng = Osten, östlich, 万 wàn = 10.000, 世 shì = Welt
3	丨	1	Senkrechtstrich	shù		gebunden	sehr selten	2	丰 fēng = drall, 书 shū = Buch, 半 bàn = halb
4	丿	1	Schrägstrich	piě		gebunden	relativ häufig	4	乃 nǎi = folglich, 久 jiŭ = lange Zeit, 乐 yuè,lè = Musik
5	乛	1		hénggōu		gebunden	sehr selten		了 le = (Partikel), 也 yě = und/auch, 买 mǎi = kaufen
6	𠃌	1		héngpiě		gebunden	sehr selten		习 xí = üben, 司 sī = verwalten
7	乙	1	2. Himmelsstamm	yǐ	Schreibvariante	frei	sehr selten	5	九 jiŭ = neun, 飞 fēi = fliegen
8	冫	2	Eis, (Zwei-Punkte-Wasser)	liǎngdiǎn shuǐ 两点水	Kurzform von 40 水 (Wasser)	gebunden	relativ häufig	15	冰 bīng = Eis, 冷 lěng = kalt, 冬 dōng = Winter
9	亠	2	Deckel	tóu	vergleiche 头	gebunden	häufig	8	六 liù = sechs, 市 shì = Stadt, 京 jīng = Hauptstadt
10	讠	2	sprechen	yán 言字旁	Kurzform von 185 言	gebunden	sehr häufig	149	语 yǔ = Sprache, 讲 jiǎng = sprechen, 让 ràng = lassen, erlauben
11	二	2	zwei	èr		frei	selten	7	五 wǔ = fünf, 井 jǐng = Brunnen, 互 hù = gegenseitig
12	十	2	zehn	shí 十字儿		frei	relativ häufig	24	千 qiān = 1.000, 古 gǔ = alt, 升 shēng = hochsteigen
13	厂	2	Abhang, Fabrik	cháng 厂字旁		frei	selten	27	厅 tīng = Büro, 厕 cè = Toilette, 厄 è = Notlage
14	𠂇	2		zuǒ		gebunden	sehr selten	5	友 yǒu = Freund, 左 zuǒ = links
